Year,NumPapers
2000, 3195467
2001, 3386666
2002, 3667889
2003, 3992497
2004, 4527751
2005, 4881486
2006, 5238099
2007, 5660620
2008, 6125139
2009, 6596070
2010, 7040315
2011, 7469109
2012, 7822787
2013, 8207971
2014, 8421936
2015, 8651075
2016, 8702273
2017, 8257552
2018, 8206978
2019, 8368076
2020, 8434442
2021, 6984485
2022, 4677596
