Name,Count
Simon S. Woo,18
Siwei Lyu,15
Yuezun Li,12
Shahroz Tariq,11
Massimiliano Todisco,10
Oliver Giudice,9
Luca Guarnera,9
Nenghai Yu,9
Sebastiano Battiato,9
Wenbo Zhou,8
Weiming Zhang,8
Luisa Verdoliva,8
Nicholas W. D. Evans,7
Pavel Korshunov,7
Abhinav Dhall,6
Jose Patino,6
Sébastien Marcel,6
Fabrizio Falchi,6
Honggang Qi,6
Pu Sun,6
Junichi Yamagishi,6
Dongdong Chen,6
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,5
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,4
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,3
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
Other,2
